iter	Passed	Remaining
0	183	91499
1	263	65624
2	341	56632
3	381	47281
4	460	45613
5	539	44418
6	621	43789
7	684	42101
8	760	41513
9	841	41236
10	868	38616
11	894	36374
12	933	34956
13	957	33246
14	1045	33809
15	1107	33492
16	1179	33508
17	1252	33541
18	1325	33560
19	1400	33606
20	1436	32765
21	1507	32763
22	1593	33041
23	1687	33478
24	1761	33474
25	1834	33439
26	1908	33439
27	1981	33395
28	2041	33160
29	2101	32919
30	2125	32152
31	2200	32183
32	2274	32188
33	2347	32173
34	2383	31672
35	2458	31692
36	2496	31236
37	2568	31226
38	2643	31249
39	2717	31245
40	2790	31243
41	2865	31244
42	2936	31213
43	3011	31208
44	3106	31414
45	3192	31504
46	3265	31470
47	3289	30975
48	3324	30595
49	3396	30572
50	3421	30122
51	3492	30089
52	3539	29854
53	3614	29849
54	3686	29827
55	3758	29802
56	3831	29775
57	3855	29379
58	3927	29355
59	4000	29334
60	4073	29314
61	4146	29289
62	4219	29266
63	4243	28911
64	4316	28884
65	4351	28614
66	4424	28595
67	4496	28568
68	4568	28537
69	4641	28511
70	4723	28542
71	4796	28515
72	4870	28487
73	4942	28454
74	5014	28416
75	5086	28379
76	5162	28362
77	5265	28486
78	5340	28459
79	5414	28428
80	5486	28380
81	5558	28337
82	5630	28288
83	5701	28237
84	5773	28189
85	5846	28144
86	5918	28096
87	5998	28086
88	6079	28075
89	6150	28020
90	6222	27965
91	6295	27919
92	6368	27870
93	6440	27819
94	6512	27763
95	6584	27709
96	6656	27655
97	6736	27633
98	6816	27608
99	6884	27537
100	6952	27467
101	7023	27406
102	7094	27345
103	7168	27295
104	7247	27264
105	7326	27233
106	7418	27247
107	7520	27296
108	7600	27265
109	7691	27268
110	7783	27276
111	7858	27222
112	7932	27167
113	8004	27102
114	8076	27037
115	8151	26983
116	8230	26941
117	8301	26873
118	8373	26809
119	8464	26803
120	8535	26735
121	8611	26682
122	8690	26635
123	8799	26682
124	8880	26640
125	8951	26570
126	9021	26495
127	9091	26421
128	9163	26355
129	9241	26302
130	9314	26237
131	9388	26174
132	9462	26109
133	9554	26097
134	9640	26064
135	9714	26000
136	9787	25934
137	9862	25871
138	9949	25839
139	10020	25767
140	10090	25692
141	10162	25621
142	10237	25557
143	10312	25494
144	10409	25484
145	10487	25427
146	10570	25384
147	10648	25325
148	10722	25258
149	10792	25182
150	10871	25126
151	10946	25060
152	11019	24991
153	11094	24926
154	11167	24856
155	11244	24795
156	11331	24755
157	11410	24698
158	11490	24643
159	11572	24592
160	11671	24576
161	11770	24557
162	11847	24494
163	11923	24428
164	11994	24352
165	12065	24275
166	12138	24205
167	12212	24134
168	12289	24069
169	12363	23999
170	12443	23941
171	12524	23883
172	12600	23817
173	12674	23746
174	12749	23676
175	12821	23602
176	12897	23535
177	12975	23471
178	13049	23401
179	13144	23367
180	13223	23306
181	13294	23229
182	13386	23189
183	13464	23123
184	13537	23050
185	13609	22975
186	13686	22909
187	13761	22838
188	13842	22777
189	13923	22716
190	14013	22671
191	14093	22608
192	14175	22549
193	14277	22520
194	14350	22445
195	14428	22379
196	14502	22306
197	14575	22231
198	14656	22168
199	14731	22096
200	14803	22021
201	14882	21954
202	14954	21878
203	15030	21808
204	15110	21744
205	15184	21670
206	15258	21597
207	15332	21524
208	15423	21474
209	15507	21415
210	15589	21351
211	15666	21282
212	15759	21234
213	15842	21172
214	15920	21103
215	16005	21044
216	16078	20969
217	16139	20877
218	16202	20788
219	16262	20697
220	16325	20609
221	16384	20517
222	16457	20443
223	16527	20364
224	16608	20298
225	16681	20224
226	16760	20157
227	16837	20086
228	16910	20011
229	16987	19941
230	17072	19881
231	17147	19808
232	17226	19740
233	17312	19680
234	17393	19613
235	17482	19557
236	17554	19480
237	17627	19405
238	17706	19336
239	17798	19281
240	17881	19217
241	17964	19152
242	18054	19094
243	18157	19050
244	18244	18989
245	18324	18920
246	18400	18847
247	18494	18792
248	18577	18726
249	18652	18652
250	18735	18586
251	18816	18518
252	18889	18441
253	18970	18373
254	19044	18298
255	19119	18223
256	19196	18150
257	19279	18083
258	19354	18009
259	19433	17938
260	19512	17867
261	19599	17803
262	19674	17729
263	19752	17657
264	19831	17586
265	19927	17530
266	20011	17462
267	20090	17391
268	20168	17319
269	20262	17260
270	20355	17201
271	20448	17140
272	20549	17087
273	20630	17016
274	20713	16947
275	20791	16874
276	20864	16796
277	20939	16721
278	21037	16664
279	21127	16600
280	21202	16524
281	21277	16448
282	21350	16371
283	21431	16300
284	21517	16232
285	21591	16155
286	21665	16079
287	21740	16003
288	21814	15926
289	21887	15849
290	21969	15778
291	22049	15706
292	22126	15631
293	22206	15559
294	22279	15482
295	22353	15406
296	22441	15338
297	22525	15268
298	22618	15205
299	22701	15134
300	22789	15066
301	22871	14995
302	22945	14918
303	23019	14841
304	23096	14766
305	23171	14690
306	23241	14610
307	23323	14539
308	23397	14462
309	23471	14385
310	23554	14314
311	23630	14238
312	23702	14160
313	23781	14087
314	23866	14016
315	23948	13944
316	24024	13869
317	24129	13809
318	24200	13731
319	24286	13660
320	24361	13584
321	24450	13516
322	24526	13439
323	24616	13372
324	24702	13301
325	24777	13224
326	24847	13145
327	24924	13070
328	25000	12994
329	25075	12917
330	25151	12841
331	25229	12766
332	25302	12689
333	25372	12610
334	25444	12532
335	25517	12454
336	25591	12377
337	25664	12300
338	25742	12225
339	25817	12149
340	25908	12080
341	25989	12006
342	26067	11931
343	26139	11853
344	26218	11779
345	26296	11704
346	26366	11625
347	26441	11549
348	26514	11472
349	26592	11396
350	26667	11320
351	26765	11253
352	26842	11177
353	26917	11101
354	26992	11025
355	27067	10948
356	27140	10871
357	27211	10793
358	27290	10718
359	27363	10641
360	27434	10563
361	27511	10487
362	27585	10411
363	27658	10333
364	27731	10257
365	27811	10182
366	27886	10106
367	27959	10028
368	28033	9952
369	28104	9874
370	28179	9798
371	28282	9731
372	28354	9654
373	28429	9577
374	28505	9501
375	28584	9426
